appt_date,geog_name,geog_code,time_between_booking_and_appt,geog_ons_code,weekday,breakdown,appt_mode,appt_count,hcp_type,appt_status,geog_type
2022-06-21,ALL,ALL,15 to 21 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,55133,ALL,ALL,ALL
2022-06-04,ALL,ALL,2 to 7 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,5334,ALL,ALL,ALL
2022-06-01,ALL,ALL,1 Day,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,90900,ALL,ALL,ALL
2022-06-10,ALL,ALL,8 to 14 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,135322,ALL,ALL,ALL
2022-06-21,ALL,ALL,8 to 14 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,39,ALL,ALL,ALL
2022-06-14,ALL,ALL,8 to 14 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,97612,ALL,ALL,ALL
2022-06-03,ALL,ALL,Same Day,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,1700,ALL,ALL,ALL
2022-06-07,ALL,ALL,22 to 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,69923,ALL,ALL,ALL
2022-06-17,ALL,ALL,More than 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,52962,ALL,ALL,ALL
2022-06-05,ALL,ALL,2 to 7 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,1145,ALL,ALL,ALL
2022-06-09,ALL,ALL,22 to 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,73371,ALL,ALL,ALL
2022-06-22,ALL,ALL,15 to 21 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,32761,ALL,ALL,ALL
2022-06-02,ALL,ALL,15 to 21 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,186,ALL,ALL,ALL
2022-06-05,ALL,ALL,1 Day,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,97,ALL,ALL,ALL
2022-06-27,ALL,ALL,More than 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,61129,ALL,ALL,ALL
2022-06-03,ALL,ALL,More than 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,446,ALL,ALL,ALL
2022-06-28,ALL,ALL,22 to 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,39744,ALL,ALL,ALL
2022-06-11,ALL,ALL,8 to 14 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,4104,ALL,ALL,ALL
2022-06-02,ALL,ALL,More than 28 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,252,ALL,ALL,ALL
2022-06-18,ALL,ALL,More than 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2033,ALL,ALL,ALL
2022-06-27,ALL,ALL,22 to 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,41756,ALL,ALL,ALL
2022-06-01,ALL,ALL,15 to 21 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,69059,ALL,ALL,ALL
2022-06-06,ALL,ALL,Same Day,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,311645,ALL,ALL,ALL
2022-06-08,ALL,ALL,22 to 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,69216,ALL,ALL,ALL
2022-06-07,ALL,ALL,1 Day,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,73015,ALL,ALL,ALL
2022-06-26,ALL,ALL,22 to 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,131,ALL,ALL,ALL
2022-06-07,ALL,ALL,15 to 21 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,116255,ALL,ALL,ALL
2022-06-01,ALL,ALL,More than 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,34380,ALL,ALL,ALL
2022-06-24,ALL,ALL,15 to 21 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,8407,ALL,ALL,ALL
2022-06-07,ALL,ALL,2 to 7 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,108988,ALL,ALL,ALL
2022-06-14,ALL,ALL,15 to 21 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,117787,ALL,ALL,ALL
2022-06-07,ALL,ALL,Same Day,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,426,ALL,ALL,ALL
2022-06-13,ALL,ALL,More than 28 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,49393,ALL,ALL,ALL
2022-06-28,ALL,ALL,More than 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,65090,ALL,ALL,ALL
2022-06-07,ALL,ALL,8 to 14 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,189179,ALL,ALL,ALL
2022-06-04,ALL,ALL,22 to 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,1104,ALL,ALL,ALL
2022-06-15,ALL,ALL,22 to 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,71402,ALL,ALL,ALL
2022-06-03,ALL,ALL,8 to 14 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,359,ALL,ALL,ALL
2022-06-01,ALL,ALL,2 to 7 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,166931,ALL,ALL,ALL
2022-06-02,ALL,ALL,2 to 7 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,1107,ALL,ALL,ALL
2022-06-06,ALL,ALL,15 to 21 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,102109,ALL,ALL,ALL
2022-06-08,ALL,ALL,More than 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,53025,ALL,ALL,ALL
2022-06-02,ALL,ALL,8 to 14 Days,ALL,Thu,by_time_between_booking_and_appt_by_date,ALL,381,ALL,ALL,ALL
2022-06-13,ALL,ALL,15 to 21 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,121177,ALL,ALL,ALL
2022-06-15,ALL,ALL,15 to 21 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,109485,ALL,ALL,ALL
2022-06-06,ALL,ALL,1 Day,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,7089,ALL,ALL,ALL
2022-06-13,ALL,ALL,8 to 14 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,111874,ALL,ALL,ALL
2022-06-19,ALL,ALL,22 to 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,166,ALL,ALL,ALL
2022-06-04,ALL,ALL,Same Day,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2863,ALL,ALL,ALL
2022-06-29,ALL,ALL,More than 28 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,64969,ALL,ALL,ALL
2022-06-12,ALL,ALL,2 to 7 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,210,ALL,ALL,ALL
2022-06-18,ALL,ALL,15 to 21 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,2422,ALL,ALL,ALL
2022-06-05,ALL,ALL,8 to 14 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,462,ALL,ALL,ALL
2022-06-12,ALL,ALL,More than 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,127,ALL,ALL,ALL
2022-06-08,ALL,ALL,2 to 7 Days,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,94910,ALL,ALL,ALL
2022-06-10,ALL,ALL,2 to 7 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,28445,ALL,ALL,ALL
2022-06-05,ALL,ALL,Same Day,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,1561,ALL,ALL,ALL
2022-06-03,ALL,ALL,1 Day,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,229,ALL,ALL,ALL
2022-06-27,ALL,ALL,15 to 21 Days,ALL,Mon,by_time_between_booking_and_appt_by_date,ALL,12072,ALL,ALL,ALL
2022-06-24,ALL,ALL,More than 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,55891,ALL,ALL,ALL
2022-06-05,ALL,ALL,22 to 28 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,107,ALL,ALL,ALL
2022-06-03,ALL,ALL,22 to 28 Days,ALL,Fri,by_time_between_booking_and_appt_by_date,ALL,134,ALL,ALL,ALL
2022-06-28,ALL,ALL,15 to 21 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,5,ALL,ALL,ALL
2022-06-26,ALL,ALL,15 to 21 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,25,ALL,ALL,ALL
2022-06-05,ALL,ALL,15 to 21 Days,ALL,Sun,by_time_between_booking_and_appt_by_date,ALL,199,ALL,ALL,ALL
2022-06-14,ALL,ALL,More than 28 Days,ALL,Tue,by_time_between_booking_and_appt_by_date,ALL,55337,ALL,ALL,ALL
2022-06-11,ALL,ALL,15 to 21 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,4691,ALL,ALL,ALL
2022-06-11,ALL,ALL,2 to 7 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,1388,ALL,ALL,ALL
2022-06-01,ALL,ALL,Unknown / Data Quality,ALL,Wed,by_time_between_booking_and_appt_by_date,ALL,508,ALL,ALL,ALL
2022-06-25,ALL,ALL,22 to 28 Days,ALL,Sat,by_time_between_booking_and_appt_by_date,ALL,1451,ALL,ALL,ALL
