,appt_date,Attended,DNA,Unknown,total,weekday
0,01/Jun/22,884953.0,41860.0,36866.0,963679.0,Wed
1,02/Jun/22,3964.0,295.0,736.0,4995.0,Thu
2,03/Jun/22,3086.0,246.0,876.0,4208.0,Fri
3,04/Jun/22,12828.0,1408.0,975.0,15211.0,Sat
4,05/Jun/22,3281.0,177.0,245.0,3703.0,Sun
5,06/Jun/22,545014.0,22045.0,293013.0,860072.0,Mon
6,07/Jun/22,4078.0,0.0,605844.0,609922.0,Tue
7,08/Jun/22,1032.0,0.0,516840.0,517872.0,Wed
8,09/Jun/22,592.0,0.0,472154.0,472746.0,Thu
9,10/Jun/22,520.0,0.0,387375.0,387895.0,Fri
10,11/Jun/22,18.0,0.0,14722.0,14740.0,Sat
11,12/Jun/22,5.0,0.0,1232.0,1237.0,Sun
12,13/Jun/22,289.0,0.0,385986.0,386275.0,Mon
13,14/Jun/22,227.0,0.0,342783.0,343010.0,Tue
14,15/Jun/22,214.0,0.0,298303.0,298517.0,Wed
15,16/Jun/22,199.0,0.0,259060.0,259259.0,Thu
16,17/Jun/22,233.0,0.0,212211.0,212444.0,Fri
17,18/Jun/22,5.0,0.0,7631.0,7636.0,Sat
18,19/Jun/22,0.0,0.0,503.0,503.0,Sun
19,20/Jun/22,160.0,0.0,218353.0,218513.0,Mon
20,21/Jun/22,196.0,0.0,189508.0,189704.0,Tue
21,22/Jun/22,189.0,0.0,163876.0,164065.0,Wed
22,23/Jun/22,166.0,0.0,141092.0,141258.0,Thu
23,24/Jun/22,167.0,0.0,113257.0,113424.0,Fri
24,25/Jun/22,8.0,0.0,4005.0,4013.0,Sat
25,26/Jun/22,5.0,0.0,759.0,764.0,Sun
26,27/Jun/22,141.0,0.0,114816.0,114957.0,Mon
27,28/Jun/22,179.0,0.0,104660.0,104839.0,Tue
28,29/Jun/22,150.0,0.0,90836.0,90986.0,Wed
29,30/Jun/22,119.0,0.0,74455.0,74574.0,Thu
